[2022-11-05 04:09:02.307633] Process 0. Episode 50, average_reward -0.080000
Episode 9300: Total Loss of tensor([[4.3801]], grad_fn=<SubBackward0>)
[2022-11-05 11:37:34.088103] Process 0. Episode 8800, average_reward -0.072841
Episode 8800: Total Loss of tensor([[-7.7387]], grad_fn=<SubBackward0>)
[2022-11-05 11:37:45.434670] Process 1. Episode 8650, average_reward -0.068208
Episode 8650: Total Loss of tensor([[7.0168]], grad_fn=<SubBackward0>)
[2022-11-05 11:38:26.122057] Process 5. Episode 8900, average_reward -0.071124
Episode 8900: Total Loss of tensor([[-0.6531]], grad_fn=<SubBackward0>)
[2022-11-05 11:38:35.323761] Process 3. Episode 8750, average_reward -0.072457
Episode 8750: Total Loss of tensor([[-1.6542]], grad_fn=<SubBackward0>)
[2022-11-05 11:38:41.719815] Process 2. Episode 8950, average_reward -0.078436
Episode 8950: Total Loss of tensor([[-17.8147]], grad_fn=<SubBackward0>)
[2022-11-05 11:39:44.931034] Process 4. Episode 9350, average_reward -0.076150
Episode 9350: Total Loss of tensor([[12.0322]], grad_fn=<SubBackward0>)
[2022-11-05 11:40:01.355520] Process 0. Episode 8850, average_reward -0.072768
Episode 8850: Total Loss of tensor([[6.0200]], grad_fn=<SubBackward0>)
[2022-11-05 11:40:26.791894] Process 1. Episode 8700, average_reward -0.068506
Episode 8700: Total Loss of tensor([[1.9164]], grad_fn=<SubBackward0>)
[2022-11-05 11:41:04.466987] Process 2. Episode 9000, average_reward -0.078111
Episode 9000: Total Loss of tensor([[8.0099]], grad_fn=<SubBackward0>)
[2022-11-05 11:41:07.967826] Process 5. Episode 8950, average_reward -0.071173
Episode 8950: Total Loss of tensor([[5.0626]], grad_fn=<SubBackward0>)
[2022-11-05 11:41:12.463956] Process 3. Episode 8800, average_reward -0.072273
Episode 8800: Total Loss of tensor([[5.8120]], grad_fn=<SubBackward0>)
[2022-11-05 11:42:16.375584] Process 4. Episode 9400, average_reward -0.076170
Episode 9400: Total Loss of tensor([[1.7924]], grad_fn=<SubBackward0>)
[2022-11-05 11:42:29.027901] Process 0. Episode 8900, average_reward -0.072584
Episode 8900: Total Loss of tensor([[-21.4951]], grad_fn=<SubBackward0>)
[2022-11-05 11:43:10.075061] Process 1. Episode 8750, average_reward -0.068457
Episode 8750: Total Loss of tensor([[4.5190]], grad_fn=<SubBackward0>)
[2022-11-05 11:43:39.304094] Process 2. Episode 9050, average_reward -0.078122
Episode 9050: Total Loss of tensor([[7.6588]], grad_fn=<SubBackward0>)
[2022-11-05 11:43:45.306516] Process 5. Episode 9000, average_reward -0.071111
Episode 9000: Total Loss of tensor([[13.0009]], grad_fn=<SubBackward0>)
[2022-11-05 11:43:47.914253] Process 3. Episode 8850, average_reward -0.071977
Episode 8850: Total Loss of tensor([[7.4736]], grad_fn=<SubBackward0>)
[2022-11-05 11:44:39.261201] Process 4. Episode 9450, average_reward -0.075979
Episode 9450: Total Loss of tensor([[-5.8982]], grad_fn=<SubBackward0>)
[2022-11-05 11:44:55.982035] Process 0. Episode 8950, average_reward -0.072961
Episode 8950: Total Loss of tensor([[23.0644]], grad_fn=<SubBackward0>)
[2022-11-05 11:45:44.672637] Process 1. Episode 8800, average_reward -0.068636
Episode 8800: Total Loss of tensor([[7.1790]], grad_fn=<SubBackward0>)
[2022-11-05 11:46:07.823245] Process 2. Episode 9100, average_reward -0.078132
Episode 9100: Total Loss of tensor([[-5.8992]], grad_fn=<SubBackward0>)
[2022-11-05 11:46:24.277955] Process 5. Episode 9050, average_reward -0.070939
Episode 9050: Total Loss of tensor([[-8.9385]], grad_fn=<SubBackward0>)
[2022-11-05 11:46:33.352289] Process 3. Episode 8900, average_reward -0.072360
Episode 8900: Total Loss of tensor([[-96.9097]], grad_fn=<SubBackward0>)
[2022-11-05 11:47:02.585563] Process 4. Episode 9500, average_reward -0.075895
Episode 9500: Total Loss of tensor([[-0.6699]], grad_fn=<SubBackward0>)
[2022-11-05 11:47:30.289286] Process 0. Episode 9000, average_reward -0.072778
Episode 9000: Total Loss of tensor([[16.9114]], grad_fn=<SubBackward0>)
[2022-11-05 11:48:33.083927] Process 1. Episode 8850, average_reward -0.068701
Episode 8850: Total Loss of tensor([[11.4417]], grad_fn=<SubBackward0>)
[2022-11-05 11:48:37.683803] Process 2. Episode 9150, average_reward -0.077814
Episode 9150: Total Loss of tensor([[1.1243]], grad_fn=<SubBackward0>)
[2022-11-05 11:48:54.361942] Process 5. Episode 9100, average_reward -0.070769
Episode 9100: Total Loss of tensor([[1.3749]], grad_fn=<SubBackward0>)
[2022-11-05 11:49:18.023951] Process 3. Episode 8950, average_reward -0.072291
Episode 8950: Total Loss of tensor([[-1.0982]], grad_fn=<SubBackward0>)
[2022-11-05 11:49:26.396101] Process 4. Episode 9550, average_reward -0.075812
Episode 9550: Total Loss of tensor([[-1.4924]], grad_fn=<SubBackward0>)
[2022-11-05 11:49:56.993340] Process 0. Episode 9050, average_reward -0.072597
Episode 9050: Total Loss of tensor([[2.5380]], grad_fn=<SubBackward0>)
[2022-11-05 11:51:04.563135] Process 2. Episode 9200, average_reward -0.077935
Episode 9200: Total Loss of tensor([[1.2011]], grad_fn=<SubBackward0>)
[2022-11-05 11:51:16.911088] Process 1. Episode 8900, average_reward -0.068427
Episode 8900: Total Loss of tensor([[6.4038]], grad_fn=<SubBackward0>)
[2022-11-05 11:51:29.003264] Process 5. Episode 9150, average_reward -0.070601
Episode 9150: Total Loss of tensor([[2.3132]], grad_fn=<SubBackward0>)
[2022-11-05 11:51:50.850717] Process 4. Episode 9600, average_reward -0.075938
Episode 9600: Total Loss of tensor([[8.2556]], grad_fn=<SubBackward0>)
[2022-11-05 11:51:55.557112] Process 3. Episode 9000, average_reward -0.072000
Episode 9000: Total Loss of tensor([[9.7955]], grad_fn=<SubBackward0>)
[2022-11-05 11:52:30.628705] Process 0. Episode 9100, average_reward -0.072418
Episode 9100: Total Loss of tensor([[15.9108]], grad_fn=<SubBackward0>)
[2022-11-05 11:53:30.741385] Process 2. Episode 9250, average_reward -0.077730
Episode 9250: Total Loss of tensor([[-4.4410]], grad_fn=<SubBackward0>)
[2022-11-05 11:53:54.863858] Process 1. Episode 8950, average_reward -0.068268
Episode 8950: Total Loss of tensor([[7.3868]], grad_fn=<SubBackward0>)
[2022-11-05 11:54:05.197256] Process 5. Episode 9200, average_reward -0.070652
Episode 9200: Total Loss of tensor([[8.1789]], grad_fn=<SubBackward0>)
[2022-11-05 11:54:16.201849] Process 4. Episode 9650, average_reward -0.076166
Episode 9650: Total Loss of tensor([[0.5023]], grad_fn=<SubBackward0>)
[2022-11-05 11:54:28.796674] Process 3. Episode 9050, average_reward -0.072265
Episode 9050: Total Loss of tensor([[-101.4180]], grad_fn=<SubBackward0>)
[2022-11-05 11:55:12.443575] Process 0. Episode 9150, average_reward -0.072350
Episode 9150: Total Loss of tensor([[3.2263]], grad_fn=<SubBackward0>)
[2022-11-05 11:56:07.972006] Process 2. Episode 9300, average_reward -0.077742
Episode 9300: Total Loss of tensor([[14.4646]], grad_fn=<SubBackward0>)
[2022-11-05 11:56:21.604368] Process 1. Episode 9000, average_reward -0.068111
Episode 9000: Total Loss of tensor([[11.8216]], grad_fn=<SubBackward0>)
[2022-11-05 11:56:32.406647] Process 5. Episode 9250, average_reward -0.070703
Episode 9250: Total Loss of tensor([[4.7940]], grad_fn=<SubBackward0>)
[2022-11-05 11:56:37.800666] Process 4. Episode 9700, average_reward -0.076701
Episode 9700: Total Loss of tensor([[-128.2452]], grad_fn=<SubBackward0>)
[2022-11-05 11:57:09.309034] Process 3. Episode 9100, average_reward -0.071978
Episode 9100: Total Loss of tensor([[22.3312]], grad_fn=<SubBackward0>)
[2022-11-05 11:57:53.224559] Process 0. Episode 9200, average_reward -0.072500
Episode 9200: Total Loss of tensor([[9.8346]], grad_fn=<SubBackward0>)
[2022-11-05 11:58:32.738834] Process 2. Episode 9350, average_reward -0.077647
Episode 9350: Total Loss of tensor([[-91.4097]], grad_fn=<SubBackward0>)
[2022-11-05 11:58:57.732647] Process 4. Episode 9750, average_reward -0.076513
Episode 9750: Total Loss of tensor([[10.0146]], grad_fn=<SubBackward0>)
[2022-11-05 11:58:57.806974] Process 1. Episode 9050, average_reward -0.067845
Episode 9050: Total Loss of tensor([[2.4876]], grad_fn=<SubBackward0>)
[2022-11-05 11:58:57.913875] Process 5. Episode 9300, average_reward -0.070538
Episode 9300: Total Loss of tensor([[9.7868]], grad_fn=<SubBackward0>)
[2022-11-05 11:59:53.407405] Process 3. Episode 9150, average_reward -0.072022
Episode 9150: Total Loss of tensor([[10.5040]], grad_fn=<SubBackward0>)
[2022-11-05 12:00:33.291111] Process 0. Episode 9250, average_reward -0.072324
Episode 9250: Total Loss of tensor([[5.0450]], grad_fn=<SubBackward0>)
[2022-11-05 12:01:06.329780] Process 2. Episode 9400, average_reward -0.077553
Episode 9400: Total Loss of tensor([[4.0629]], grad_fn=<SubBackward0>)
[2022-11-05 12:01:19.312303] Process 4. Episode 9800, average_reward -0.076429
Episode 9800: Total Loss of tensor([[-2.9317]], grad_fn=<SubBackward0>)
[2022-11-05 12:01:27.753564] Process 1. Episode 9100, average_reward -0.067582
Episode 9100: Total Loss of tensor([[11.2520]], grad_fn=<SubBackward0>)
[2022-11-05 12:01:34.455058] Process 5. Episode 9350, average_reward -0.070481
Episode 9350: Total Loss of tensor([[-0.5775]], grad_fn=<SubBackward0>)
[2022-11-05 12:02:22.329620] Process 3. Episode 9200, average_reward -0.071848
Episode 9200: Total Loss of tensor([[-1.7282]], grad_fn=<SubBackward0>)
[2022-11-05 12:03:05.843741] Process 0. Episode 9300, average_reward -0.072043
Episode 9300: Total Loss of tensor([[5.2875]], grad_fn=<SubBackward0>)
[2022-11-05 12:03:41.761039] Process 4. Episode 9850, average_reward -0.076244
Episode 9850: Total Loss of tensor([[-1.9427]], grad_fn=<SubBackward0>)
[2022-11-05 12:03:53.636113] Process 2. Episode 9450, average_reward -0.077460
Episode 9450: Total Loss of tensor([[-35.5776]], grad_fn=<SubBackward0>)
[2022-11-05 12:03:54.345684] Process 1. Episode 9150, average_reward -0.067650
Episode 9150: Total Loss of tensor([[5.8326]], grad_fn=<SubBackward0>)
[2022-11-05 12:04:11.510206] Process 5. Episode 9400, average_reward -0.070426
Episode 9400: Total Loss of tensor([[-7.9244]], grad_fn=<SubBackward0>)
[2022-11-05 12:05:04.740754] Process 3. Episode 9250, average_reward -0.071892
Episode 9250: Total Loss of tensor([[10.0933]], grad_fn=<SubBackward0>)
[2022-11-05 12:05:34.340522] Process 0. Episode 9350, average_reward -0.072193
Episode 9350: Total Loss of tensor([[-3.4086]], grad_fn=<SubBackward0>)
[2022-11-05 12:06:05.842046] Process 4. Episode 9900, average_reward -0.076263
Episode 9900: Total Loss of tensor([[0.7736]], grad_fn=<SubBackward0>)
[2022-11-05 12:06:24.466387] Process 2. Episode 9500, average_reward -0.077474
Episode 9500: Total Loss of tensor([[5.8664]], grad_fn=<SubBackward0>)
[2022-11-05 12:06:33.462054] Process 1. Episode 9200, average_reward -0.067500
Episode 9200: Total Loss of tensor([[8.3775]], grad_fn=<SubBackward0>)
[2022-11-05 12:06:37.247724] Process 5. Episode 9450, average_reward -0.070370
Episode 9450: Total Loss of tensor([[1.7403]], grad_fn=<SubBackward0>)
[2022-11-05 12:07:46.190078] Process 3. Episode 9300, average_reward -0.071935
Episode 9300: Total Loss of tensor([[-21.1934]], grad_fn=<SubBackward0>)
[2022-11-05 12:08:08.518265] Process 0. Episode 9400, average_reward -0.072021
Episode 9400: Total Loss of tensor([[1.7854]], grad_fn=<SubBackward0>)
[2022-11-05 12:08:31.481977] Process 4. Episode 9950, average_reward -0.076281
Episode 9950: Total Loss of tensor([[-18.1783]], grad_fn=<SubBackward0>)
[2022-11-05 12:08:51.719836] Process 2. Episode 9550, average_reward -0.077382
Episode 9550: Total Loss of tensor([[18.0704]], grad_fn=<SubBackward0>)
[2022-11-05 12:09:00.861508] Process 1. Episode 9250, average_reward -0.067351
Episode 9250: Total Loss of tensor([[2.3191]], grad_fn=<SubBackward0>)
[2022-11-05 12:09:08.899477] Process 5. Episode 9500, average_reward -0.070316
Episode 9500: Total Loss of tensor([[10.5903]], grad_fn=<SubBackward0>)
[2022-11-05 12:10:29.223437] Process 3. Episode 9350, average_reward -0.072086
Episode 9350: Total Loss of tensor([[8.1244]], grad_fn=<SubBackward0>)
[2022-11-05 12:10:40.302636] Process 0. Episode 9450, average_reward -0.072063
Episode 9450: Total Loss of tensor([[6.2722]], grad_fn=<SubBackward0>)
[2022-11-05 12:10:51.601223] Process 4. Episode 10000, average_reward -0.076400
Episode 10000: Total Loss of tensor([[-1.2076]], grad_fn=<SubBackward0>)
[2022-11-05 12:11:16.252901] Process 2. Episode 9600, average_reward -0.077083
Episode 9600: Total Loss of tensor([[8.9658]], grad_fn=<SubBackward0>)
[2022-11-05 12:11:42.287133] Process 1. Episode 9300, average_reward -0.067204
Episode 9300: Total Loss of tensor([[9.3136]], grad_fn=<SubBackward0>)
[2022-11-05 12:11:47.087342] Process 5. Episode 9550, average_reward -0.070366
Episode 9550: Total Loss of tensor([[5.3299]], grad_fn=<SubBackward0>)
[2022-11-05 12:12:58.674358] Process 3. Episode 9400, average_reward -0.072340
Episode 9400: Total Loss of tensor([[8.9012]], grad_fn=<SubBackward0>)
[2022-11-05 12:13:15.052846] Process 4. Episode 10050, average_reward -0.076418
Episode 10050: Total Loss of tensor([[-101.1795]], grad_fn=<SubBackward0>)
[2022-11-05 12:13:15.799807] Process 0. Episode 9500, average_reward -0.071895
Episode 9500: Total Loss of tensor([[-11.2850]], grad_fn=<SubBackward0>)
[2022-11-05 12:13:47.148241] Process 2. Episode 9650, average_reward -0.076891
Episode 9650: Total Loss of tensor([[-12.4021]], grad_fn=<SubBackward0>)
[2022-11-05 12:14:17.238588] Process 5. Episode 9600, average_reward -0.070521
Episode 9600: Total Loss of tensor([[13.8865]], grad_fn=<SubBackward0>)
[2022-11-05 12:14:30.585949] Process 1. Episode 9350, average_reward -0.067166
Episode 9350: Total Loss of tensor([[24.5260]], grad_fn=<SubBackward0>)
[2022-11-05 12:15:31.045360] Process 3. Episode 9450, average_reward -0.072593
Episode 9450: Total Loss of tensor([[-46.9968]], grad_fn=<SubBackward0>)
[2022-11-05 12:15:36.957514] Process 4. Episode 10100, average_reward -0.076436
Episode 10100: Total Loss of tensor([[-20.4295]], grad_fn=<SubBackward0>)
[2022-11-05 12:15:42.473636] Process 0. Episode 9550, average_reward -0.071937
Episode 9550: Total Loss of tensor([[17.1054]], grad_fn=<SubBackward0>)
[2022-11-05 12:16:33.404380] Process 2. Episode 9700, average_reward -0.076701
Episode 9700: Total Loss of tensor([[9.4436]], grad_fn=<SubBackward0>)
[2022-11-05 12:16:57.155826] Process 5. Episode 9650, average_reward -0.070363
Episode 9650: Total Loss of tensor([[8.2962]], grad_fn=<SubBackward0>)
[2022-11-05 12:17:12.966991] Process 1. Episode 9400, average_reward -0.067234
Episode 9400: Total Loss of tensor([[10.9316]], grad_fn=<SubBackward0>)
[2022-11-05 12:17:58.484684] Process 4. Episode 10150, average_reward -0.076650
Episode 10150: Total Loss of tensor([[15.7420]], grad_fn=<SubBackward0>)
[2022-11-05 12:18:03.986136] Process 3. Episode 9500, average_reward -0.072737
Episode 9500: Total Loss of tensor([[14.9667]], grad_fn=<SubBackward0>)
[2022-11-05 12:18:17.406412] Process 0. Episode 9600, average_reward -0.071667
Episode 9600: Total Loss of tensor([[3.2411]], grad_fn=<SubBackward0>)
[2022-11-05 12:19:01.726269] Process 2. Episode 9750, average_reward -0.076615
Episode 9750: Total Loss of tensor([[-60.7655]], grad_fn=<SubBackward0>)
[2022-11-05 12:19:26.207596] Process 5. Episode 9700, average_reward -0.070619
Episode 9700: Total Loss of tensor([[17.4743]], grad_fn=<SubBackward0>)
[2022-11-05 12:19:59.446629] Process 1. Episode 9450, average_reward -0.067302
Episode 9450: Total Loss of tensor([[17.6308]], grad_fn=<SubBackward0>)
[2022-11-05 12:20:21.278407] Process 4. Episode 10200, average_reward -0.076471
Episode 10200: Total Loss of tensor([[10.5140]], grad_fn=<SubBackward0>)
[2022-11-05 12:20:43.994532] Process 3. Episode 9550, average_reward -0.072984
Episode 9550: Total Loss of tensor([[4.8082]], grad_fn=<SubBackward0>)
[2022-11-05 12:20:49.018229] Process 0. Episode 9650, average_reward -0.071606
Episode 9650: Total Loss of tensor([[-123.2665]], grad_fn=<SubBackward0>)
[2022-11-05 12:21:40.446080] Process 2. Episode 9800, average_reward -0.076531
Episode 9800: Total Loss of tensor([[2.9770]], grad_fn=<SubBackward0>)
[2022-11-05 12:22:02.444433] Process 5. Episode 9750, average_reward -0.070872
Episode 9750: Total Loss of tensor([[14.3632]], grad_fn=<SubBackward0>)
[2022-11-05 12:22:27.965950] Process 1. Episode 9500, average_reward -0.067158
Episode 9500: Total Loss of tensor([[4.7635]], grad_fn=<SubBackward0>)
[2022-11-05 12:22:46.990468] Process 4. Episode 10250, average_reward -0.076390
Episode 10250: Total Loss of tensor([[1.6491]], grad_fn=<SubBackward0>)
[2022-11-05 12:23:17.089510] Process 3. Episode 9600, average_reward -0.072708
Episode 9600: Total Loss of tensor([[-90.8436]], grad_fn=<SubBackward0>)
[2022-11-05 12:23:31.700849] Process 0. Episode 9700, average_reward -0.071443
Episode 9700: Total Loss of tensor([[4.3770]], grad_fn=<SubBackward0>)
[2022-11-05 12:24:14.679272] Process 2. Episode 9850, average_reward -0.076447
Episode 9850: Total Loss of tensor([[0.4928]], grad_fn=<SubBackward0>)
[2022-11-05 12:24:38.731353] Process 5. Episode 9800, average_reward -0.070612
Episode 9800: Total Loss of tensor([[11.7452]], grad_fn=<SubBackward0>)
[2022-11-05 12:24:56.347565] Process 1. Episode 9550, average_reward -0.067120
Episode 9550: Total Loss of tensor([[10.1562]], grad_fn=<SubBackward0>)
[2022-11-05 12:25:12.782369] Process 4. Episode 10300, average_reward -0.076505
Episode 10300: Total Loss of tensor([[11.8069]], grad_fn=<SubBackward0>)
[2022-11-05 12:25:43.164033] Process 3. Episode 9650, average_reward -0.072850
Episode 9650: Total Loss of tensor([[2.7422]], grad_fn=<SubBackward0>)
[2022-11-05 12:26:15.343874] Process 0. Episode 9750, average_reward -0.071590
Episode 9750: Total Loss of tensor([[13.8339]], grad_fn=<SubBackward0>)
[2022-11-05 12:26:53.643072] Process 2. Episode 9900, average_reward -0.076566
Episode 9900: Total Loss of tensor([[3.5874]], grad_fn=<SubBackward0>)
[2022-11-05 12:27:12.092210] Process 5. Episode 9850, average_reward -0.070457
Episode 9850: Total Loss of tensor([[19.2596]], grad_fn=<SubBackward0>)
[2022-11-05 12:27:27.777858] Process 1. Episode 9600, average_reward -0.067187
Episode 9600: Total Loss of tensor([[5.0046]], grad_fn=<SubBackward0>)
[2022-11-05 12:27:35.523892] Process 4. Episode 10350, average_reward -0.076329
Episode 10350: Total Loss of tensor([[12.7199]], grad_fn=<SubBackward0>)
[2022-11-05 12:28:09.466793] Process 3. Episode 9700, average_reward -0.072887
Episode 9700: Total Loss of tensor([[12.0454]], grad_fn=<SubBackward0>)
[2022-11-05 12:28:51.178793] Process 0. Episode 9800, average_reward -0.071429
Episode 9800: Total Loss of tensor([[6.2161]], grad_fn=<SubBackward0>)
